Regione,Residenti2016,Residenti2017,FlussiArrivi2016,FlussiArrivi2017,FlussiPresenze2016,FlussiPresenze2017,TotaleHotel,TotaleBeB,TotaleAffittoAlloggi,TotaleAltriAffittaCamere,NumeroHotel5Stelle,NumeroLetti5Stelle,NumeroHotel4Stelle,NumeroLetti4Stelle,NumeroHotel3Stelle,NumeroLetti3Stelle,NumeroHotel2Stelle,NumeroLetti2Stelle,NumeroHotel1Stelle,NumeroLetti1Stelle,NumeroLettiAffittoAlloggi,NumeroLettiBeB,Latitude,Longitude
ABRUZZO,1326513,1322247,1484551,1517836,5995826,6120461,3721,4667,2072,4589,30,3672,500,56603,2119,143433,576,19653,496,11558,31584,28556,42,13.4
BASILICATA,573694,570365,696870,767873,2290170,2445049,1116,1430,1553,2421,26,2084,254,48622,572,39292,179,5779,85,1822,14066,7729,40,15
CALABRIA,1970521,1965128,1563017,1758490,8366719,8849703,3509,6406,1387,4582,80,7024,1111,218739,1688,164157,438,18456,192,5583,22273,34791,39.3,16
CAMPANIA,5850850,5820873,5209752,5444318,19201261,19864180,8061,9025,10811,16511,285,33084,2422,270252,3888,203885,973,32431,493,11725,73423,44080,41,14.5
EMILIA-ROMAGNA,4448146,4448841,10257552,11001922,37702683,39983488,20580,10738,13976,19938,64,8859,2159,280211,12220,884867,4356,173988,1781,51787,147835,45783,45,9.5
FRIULI-VENEZIA-GIULIA,1221218,1217872,2270822,2421530,8167303,8652570,3419,3063,22391,24835,13,1563,474,54059,1735,103522,671,19479,526,11926,282945,15331,46,13.2
LAZIO,5888472,5898124,11258677,11505986,31606008,33655411,10159,20078,16275,22064,211,51102,2292,381260,4385,284300,2227,74064,1044,22807,138393,89467,41.8,12.5
LIGURIA,1571053,1565307,4480288,4712211,14977013,15459792,6329,5251,5937,9940,59,8311,586,68816,2711,139439,2032,51401,941,18718,56932,20439,44.4,9
LOMBARDIA,10008349,10015218,14050304,15589927,34818237,37575640,13334,11216,14329,20513,204,37131,2932,430477,6154,322419,2318,59378,1726,35851,186359,58078,45.5,9
MARCHE,1543752,1538055,2356540,2094225,12018820,11039370,4093,8276,2597,9820,15,910,564,62949,2421,172874,787,35392,306,9277,63040,42168,43.3,13
MOLISE,312027,310449,108166,113995,374516,406708,477,748,487,1113,5,190,113,10274,205,11187,118,3116,36,645,3725,3403,41.4,15
PIEMONTE,4404246,4392526,4359380,4886876,12861744,14187340,7005,9312,6018,14438,52,6435,1045,127553,3641,197003,1318,34298,949,20320,85290,41528,45.4,7.6
PUGLIA,4077166,4063888,3704579,3892722,14357912,15126026,4661,15118,5437,9010,162,20419,1712,229553,2113,159997,467,13070,207,4818,142531,111445,40.4,18
SARDEGNA,1658138,1653135,1314482,3073987,5056531,14168643,5789,17245,4282,10245,175,40658,1804,383547,2852,196487,709,17950,249,4191,125370,79598,41,8.9
SICILIA,5074261,5056641,4282200,4823520,13373360,14592476,5833,13666,6744,9486,163,32699,1844,284502,2574,205800,752,24516,500,10794,87713,84146,37.4,13.5
TOSCANA,3744398,3742437,12748519,13589280,44126176,45897527,12858,0,24131,51387,313,44473,2317,299070,6610,393524,2416,76884,1202,27991,380754,0,43.8,10.8
TRENTINO-ALTO-ADIGE,1059114,1062860,10980446,11572331,48086560,50137935,23338,1782,16653,35185,140,14662,3118,243931,12060,604416,5844,158383,2176,49804,206169,10750,46,11.3
UMBRIA,891181,888908,2366690,2117448,5978622,5458006,2565,4054,4898,12317,17,1672,398,40488,1266,75530,677,19976,207,3931,57642,20328,42.5,12.6
VALLE-D'AOSTA,127329,126883,1177664,1240156,3411317,3577189,1941,998,1027,2373,28,3377,239,20792,990,48224,524,15396,160,2824,15235,4286,45.7,7.2
VENETO,4904887,4904486,17657059,19086382,64833122,68940376,14681,14945,242744,250566,230,45805,2670,372856,7180,466757,2917,106468,1684,41493,1119222,72873, 45.5,11.4
